Posicion,Club,GP,Pts,W,D,L,F,A,GD
1,Manchester City,38,91,28,7,3,96,34,62
2,Arsenal,38,89,28,5,5,91,29,62
3,Liverpool,38,82,24,10,4,86,41,45
4,Aston Villa,38,68,20,8,10,76,61,15
5,Tottenham,38,66,20,6,12,74,61,13
6,Chelsea,38,63,18,9,11,77,63,14
7,Newcastle United,38,60,18,6,14,85,62,23
8,Manchester United,38,60,18,6,14,57,58,-1
9,West Ham United,38,52,14,10,14,60,74,-14
10,Crystal Palace,38,49,13,10,15,57,58,-1
11,Brighton & Hove Albion,38,48,12,12,14,55,74,-19
12,Bournemouth,38,48,13,9,16,54,58,-4
13,Fulham,38,47,13,8,17,55,62,-7
14,Wolverhampton,38,46,13,7,18,50,67,-17
15,Everton,38,40,13,9,16,40,61,-21
16,Brentford,38,39,10,9,19,56,65,-9
17,Nottingham Forest,38,32,9,9,20,49,67,-18
18,Luton Town,38,26,6,8,24,52,85,-33
19,Burnley,38,24,5,9,24,41,78,-37
20,Sheffield United,38,16,3,7,28,35,104,-69
